#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 02 01 30 999 99.0 99.0  0.64 15.38  4.69  85 9999.0 999.0  23.1 999.0 99.0 99.00
2019 01 02 02 00 999 99.0 99.0  0.64  4.35  4.70 118 9999.0 999.0  23.1 999.0 99.0 99.00
2019 01 02 02 30 999 99.0 99.0  0.63 15.38  4.57  97 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 02 03 00 999 99.0 99.0  0.63  4.55  4.42 116 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 02 03 30 999 99.0 99.0  0.66  4.76  4.12 119 9999.0 999.0  22.9 999.0 99.0 99.00
2019 01 02 04 00 999 99.0 99.0  0.68 14.29  4.11  88 9999.0 999.0  22.8 999.0 99.0 99.00
2019 01 02 04 30 999 99.0 99.0  0.68  3.85  4.11 119 9999.0 999.0  22.9 999.0 99.0 99.00
2019 01 02 05 00 999 99.0 99.0  0.66  3.85  4.08 122 9999.0 999.0  22.9 999.0 99.0 99.00
2019 01 02 05 30 999 99.0 99.0  0.64  9.09  4.14 112 9999.0 999.0  22.9 999.0 99.0 99.00
2019 01 02 06 00 999 99.0 99.0  0.65 14.29  4.28  87 9999.0 999.0  22.9 999.0 99.0 99.00
2019 01 02 06 30 999 99.0 99.0  0.66  9.09  4.48 111 9999.0 999.0  22.9 999.0 99.0 99.00
2019 01 02 07 00 999 99.0 99.0  0.63  7.69  4.29 105 9999.0 999.0  22.8 999.0 99.0 99.00
2019 01 02 07 30 999 99.0 99.0  0.61 14.29  4.35  83 9999.0 999.0  22.8 999.0 99.0 99.00
2019 01 02 08 00 999 99.0 99.0  0.62 14.29  4.45  71 9999.0 999.0  22.8 999.0 99.0 99.00
2019 01 02 08 30 999 99.0 99.0  0.60 14.29  4.48  83 9999.0 999.0  22.8 999.0 99.0 99.00
2019 01 02 09 00 999 99.0 99.0  0.57 14.29  4.54  76 9999.0 999.0  22.8 999.0 99.0 99.00
2019 01 02 09 30 999 99.0 99.0  0.58  9.09  4.68 107 9999.0 999.0  22.8 999.0 99.0 99.00
2019 01 02 10 00 999 99.0 99.0  0.56 15.38  5.09  67 9999.0 999.0  22.8 999.0 99.0 99.00
2019 01 02 10 30 999 99.0 99.0  0.54 14.29  5.20  70 9999.0 999.0  22.8 999.0 99.0 99.00
2019 01 02 11 00 999 99.0 99.0  0.52 14.29  5.44  73 9999.0 999.0  22.8 999.0 99.0 99.00
2019 01 02 11 30 999 99.0 99.0  0.51 14.29  5.26  62 9999.0 999.0  22.8 999.0 99.0 99.00
2019 01 02 12 00 999 99.0 99.0  0.52  9.09  5.42 107 9999.0 999.0  22.8 999.0 99.0 99.00
2019 01 02 20 30 999 99.0 99.0  0.45  9.09  5.23 102 9999.0 999.0  23.9 999.0 99.0 99.00
2019 01 02 21 00 999 99.0 99.0  0.45  9.09  5.32 107 9999.0 999.0  24.0 999.0 99.0 99.00
2019 01 02 21 30 999 99.0 99.0  0.45  9.88  5.33 105 9999.0 999.0  23.9 999.0 99.0 99.00
2019 01 02 22 00 999 99.0 99.0  0.44  9.88  5.32 108 9999.0 999.0  23.7 999.0 99.0 99.00
2019 01 02 22 30 999 99.0 99.0  0.44  9.09  5.38 109 9999.0 999.0  23.5 999.0 99.0 99.00
2019 01 02 23 00 999 99.0 99.0  0.42  9.09  5.23  97 9999.0 999.0  23.6 999.0 99.0 99.00
2019 01 02 23 30 999 99.0 99.0  0.42 13.33  5.00  87 9999.0 999.0  23.5 999.0 99.0 99.00
2019 01 03 00 00 999 99.0 99.0  0.43  9.09  4.46 109 9999.0 999.0  23.3 999.0 99.0 99.00
2019 01 03 00 30 999 99.0 99.0  0.44  9.09  4.46 104 9999.0 999.0  23.3 999.0 99.0 99.00
2019 01 03 01 00 999 99.0 99.0  0.44  9.88  4.37 112 9999.0 999.0  23.2 999.0 99.0 99.00
2019 01 03 01 30 999 99.0 99.0  0.45  9.09  4.50 107 9999.0 999.0  23.2 999.0 99.0 99.00
2019 01 03 02 00 999 99.0 99.0  0.44  9.09  4.53 114 9999.0 999.0  23.2 999.0 99.0 99.00
2019 01 03 02 30 999 99.0 99.0  0.44  9.09  4.42 111 9999.0 999.0  23.1 999.0 99.0 99.00
2019 01 03 03 00 999 99.0 99.0  0.45  8.33  4.02 108 9999.0 999.0  23.1 999.0 99.0 99.00
2019 01 03 03 30 999 99.0 99.0  0.48  9.09  3.83 112 9999.0 999.0  23.1 999.0 99.0 99.00
2019 01 03 04 00 999 99.0 99.0  0.49  8.33  3.71 109 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 03 04 30 999 99.0 99.0  0.54  9.09  3.88 112 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 03 05 00 999 99.0 99.0  0.54  8.33  3.90 109 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 03 05 30 999 99.0 99.0  0.61  9.09  3.80 114 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 03 06 00 999 99.0 99.0  0.63  3.57  3.51 119 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 03 06 30 999 99.0 99.0  0.64  3.70  3.62 119 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 03 07 00 999 99.0 99.0  0.68  3.85  3.69 112 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 03 07 30 999 99.0 99.0  0.70  3.85  3.67 119 9999.0 999.0  22.9 999.0 99.0 99.00
2019 01 03 08 00 999 99.0 99.0  0.68  3.85  3.62 115 9999.0 999.0  22.9 999.0 99.0 99.00
2019 01 03 08 30 999 99.0 99.0  0.70  3.85  3.66 128 9999.0 999.0  22.9 999.0 99.0 99.00
2019 01 03 09 00 999 99.0 99.0  0.68  3.70  3.73 125 9999.0 999.0  22.9 999.0 99.0 99.00
2019 01 03 09 30 999 99.0 99.0  0.70  4.00  3.81 122 9999.0 999.0  22.9 999.0 99.0 99.00
2019 01 03 10 00 999 99.0 99.0  0.69  4.00  3.94 126 9999.0 999.0  22.8 999.0 99.0 99.00
2019 01 03 10 30 999 99.0 99.0  0.70  4.00  3.90 116 9999.0 999.0  22.8 999.0 99.0 99.00
2019 01 03 11 00 999 99.0 99.0  0.70  3.85  4.02 122 9999.0 999.0  22.8 999.0 99.0 99.00
2019 01 03 11 30 999 99.0 99.0  0.69  4.00  4.10 128 9999.0 999.0  22.8 999.0 99.0 99.00
2019 01 03 12 00 999 99.0 99.0  0.69  4.00  4.07 114 9999.0 999.0  22.8 999.0 99.0 99.00
2019 01 03 12 30 999 99.0 99.0  0.63  3.70  4.06 118 9999.0 999.0  22.8 999.0 99.0 99.00
2019 01 03 13 00 999 99.0 99.0  0.70  4.00  4.21 114 9999.0 999.0  22.8 999.0 99.0 99.00
2019 01 03 13 30 999 99.0 99.0  0.68  3.85  4.26 119 9999.0 999.0  22.8 999.0 99.0 99.00
2019 01 03 14 00 999 99.0 99.0  0.73  4.55  4.32 119 9999.0 999.0  22.9 999.0 99.0 99.00
2019 01 03 14 30 999 99.0 99.0  0.71  4.76  4.34 121 9999.0 999.0  22.9 999.0 99.0 99.00
2019 01 03 15 00 999 99.0 99.0  0.68  4.76  4.27 125 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 03 15 30 999 99.0 99.0  0.66  4.35  4.21 122 9999.0 999.0  23.2 999.0 99.0 99.00
2019 01 03 16 00 999 99.0 99.0  0.65  4.17  4.24 121 9999.0 999.0  23.4 999.0 99.0 99.00
2019 01 03 16 30 999 99.0 99.0  0.67  4.76  4.25 125 9999.0 999.0  23.3 999.0 99.0 99.00
2019 01 03 17 00 999 99.0 99.0  0.66  4.76  4.17 121 9999.0 999.0  23.2 999.0 99.0 99.00
2019 01 03 17 30 999 99.0 99.0  0.67  4.55  4.18 126 9999.0 999.0  23.5 999.0 99.0 99.00
2019 01 03 18 00 999 99.0 99.0  0.66  4.55  4.18 125 9999.0 999.0  23.5 999.0 99.0 99.00
2019 01 03 18 30 999 99.0 99.0  0.64  4.35  4.14 125 9999.0 999.0  23.5 999.0 99.0 99.00
2019 01 03 19 00 999 99.0 99.0  0.64  4.55  4.13 126 9999.0 999.0  23.5 999.0 99.0 99.00
2019 01 03 19 30 999 99.0 99.0  0.63  4.35  4.10 123 9999.0 999.0  23.5 999.0 99.0 99.00
2019 01 03 20 00 999 99.0 99.0  0.71  4.76  4.18 125 9999.0 999.0  23.5 999.0 99.0 99.00
2019 01 03 20 30 999 99.0 99.0  0.70  5.00  4.13 128 9999.0 999.0  23.5 999.0 99.0 99.00
2019 01 03 21 00 999 99.0 99.0  0.74  4.76  4.05 126 9999.0 999.0  23.4 999.0 99.0 99.00
2019 01 03 21 30 999 99.0 99.0  0.73  5.00  4.15 126 9999.0 999.0  23.4 999.0 99.0 99.00
2019 01 03 22 00 999 99.0 99.0  0.76  5.00  4.15 125 9999.0 999.0  23.3 999.0 99.0 99.00
2019 01 03 22 30 999 99.0 99.0  0.74  4.55  4.15 125 9999.0 999.0  23.3 999.0 99.0 99.00
2019 01 03 23 00 999 99.0 99.0  0.71  4.76  4.03 125 9999.0 999.0  23.2 999.0 99.0 99.00
2019 01 03 23 30 999 99.0 99.0  0.68  4.76  4.04 119 9999.0 999.0  23.2 999.0 99.0 99.00
2019 01 04 00 00 999 99.0 99.0  0.69  5.26  4.06 128 9999.0 999.0  23.2 999.0 99.0 99.00
2019 01 04 00 30 999 99.0 99.0  0.67  5.26  4.04 123 9999.0 999.0  23.1 999.0 99.0 99.00
2019 01 04 01 00 999 99.0 99.0  0.72  5.56  4.07 128 9999.0 999.0  23.1 999.0 99.0 99.00
2019 01 04 01 30 999 99.0 99.0  0.70  5.56  4.01 129 9999.0 999.0  23.2 999.0 99.0 99.00
2019 01 04 02 00 999 99.0 99.0  0.71  4.35  4.04 121 9999.0 999.0  23.2 999.0 99.0 99.00
2019 01 04 02 30 999 99.0 99.0  0.71  5.00  4.05 121 9999.0 999.0  23.1 999.0 99.0 99.00
2019 01 04 03 00 999 99.0 99.0  0.67  4.55  4.08 121 9999.0 999.0  23.1 999.0 99.0 99.00
2019 01 04 03 30 999 99.0 99.0  0.64  5.00  3.95 115 9999.0 999.0  23.1 999.0 99.0 99.00
2019 01 04 04 00 999 99.0 99.0  0.65  4.35  4.02 126 9999.0 999.0  23.1 999.0 99.0 99.00
2019 01 04 04 30 999 99.0 99.0  0.56  4.35  3.97 126 9999.0 999.0  23.1 999.0 99.0 99.00
2019 01 04 05 00 999 99.0 99.0  0.64  4.17  4.05 126 9999.0 999.0  23.1 999.0 99.0 99.00
2019 01 04 05 30 999 99.0 99.0  0.66  4.17  4.07 132 9999.0 999.0  23.1 999.0 99.0 99.00
2019 01 04 06 00 999 99.0 99.0  0.70  4.17  3.99 129 9999.0 999.0  23.1 999.0 99.0 99.00
2019 01 04 06 30 999 99.0 99.0  0.69  4.35  3.84 133 9999.0 999.0  23.1 999.0 99.0 99.00
2019 01 04 07 00 999 99.0 99.0  0.73  4.17  3.75 136 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 04 07 30 999 99.0 99.0  0.73  4.17  3.66 132 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 04 08 00 999 99.0 99.0  0.75  4.17  3.68 132 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 04 08 30 999 99.0 99.0  0.78  4.35  3.63 128 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 04 09 00 999 99.0 99.0  0.74  4.17  3.66 133 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 04 09 30 999 99.0 99.0  0.73  4.17  3.75 133 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 04 10 00 999 99.0 99.0  0.72  4.00  3.68 133 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 04 10 30 999 99.0 99.0  0.71  4.00  3.62 130 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 04 11 00 999 99.0 99.0  0.68  4.00  3.66 135 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 04 11 30 999 99.0 99.0  0.67  3.70  3.61 136 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 04 12 00 999 99.0 99.0  0.68  4.00  3.65 137 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 04 12 30 999 99.0 99.0  0.71  4.17  3.66 136 9999.0 999.0  22.9 999.0 99.0 99.00
2019 01 04 13 00 999 99.0 99.0  0.68  4.17  3.71 136 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 04 13 30 999 99.0 99.0  0.68  4.00  3.74 142 9999.0 999.0  22.9 999.0 99.0 99.00
2019 01 04 14 00 999 99.0 99.0  0.65  3.85  3.63 139 9999.0 999.0  22.9 999.0 99.0 99.00
2019 01 04 14 30 999 99.0 99.0  0.66  3.57  3.68 142 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 04 15 30 999 99.0 99.0  0.70  4.00  3.52 133 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 04 16 00 999 99.0 99.0  0.71  3.70  3.55 142 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 04 16 30 999 99.0 99.0  0.71  4.00  3.49 132 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 04 17 00 999 99.0 99.0  0.70  4.00  3.62 135 9999.0 999.0  23.1 999.0 99.0 99.00
2019 01 04 17 30 999 99.0 99.0  0.66  3.85  3.77 137 9999.0 999.0  23.1 999.0 99.0 99.00
2019 01 04 18 00 999 99.0 99.0  0.63  3.85  3.79 136 9999.0 999.0  23.2 999.0 99.0 99.00
2019 01 04 18 30 999 99.0 99.0  0.65  4.00  3.83 132 9999.0 999.0  23.2 999.0 99.0 99.00
2019 01 04 19 00 999 99.0 99.0  0.65  4.00  3.76 136 9999.0 999.0  23.2 999.0 99.0 99.00
2019 01 04 19 30 999 99.0 99.0  0.69  4.17  3.75 128 9999.0 999.0  23.3 999.0 99.0 99.00
2019 01 04 20 00 999 99.0 99.0  0.68  4.76  3.80 118 9999.0 999.0  23.3 999.0 99.0 99.00
2019 01 04 20 30 999 99.0 99.0  0.70  4.35  3.82 123 9999.0 999.0  23.3 999.0 99.0 99.00
2019 01 04 21 00 999 99.0 99.0  0.70  4.35  3.74 123 9999.0 999.0  23.2 999.0 99.0 99.00
2019 01 04 21 30 999 99.0 99.0  0.72  4.17  3.76 121 9999.0 999.0  23.2 999.0 99.0 99.00
2019 01 04 22 00 999 99.0 99.0  0.73  4.55  3.63 119 9999.0 999.0  23.2 999.0 99.0 99.00
2019 01 04 22 30 999 99.0 99.0  0.72  4.55  3.67 125 9999.0 999.0  23.1 999.0 99.0 99.00
2019 01 04 23 00 999 99.0 99.0  0.78  4.35  3.64 122 9999.0 999.0  23.1 999.0 99.0 99.00
2019 01 04 23 30 999 99.0 99.0  0.74  4.35  3.60 125 9999.0 999.0  23.1 999.0 99.0 99.00
2019 01 05 00 00 999 99.0 99.0  0.72  4.35  3.53 121 9999.0 999.0  23.1 999.0 99.0 99.00
2019 01 05 00 30 999 99.0 99.0  0.69  4.76  3.26 114 9999.0 999.0  23.1 999.0 99.0 99.00
2019 01 05 01 00 999 99.0 99.0  0.63  2.27  3.09 271 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 05 01 30 999 99.0 99.0  0.63  2.44  3.19 251 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 05 02 00 999 99.0 99.0  0.56  4.35  3.73 130 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 05 02 30 999 99.0 99.0  0.57  4.76  3.70 126 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 05 03 00 999 99.0 99.0  0.58  4.35  3.56 130 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 05 03 30 999 99.0 99.0  0.60  4.76  3.57 132 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 05 04 00 999 99.0 99.0  0.61  5.00  3.36 132 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 05 04 30 999 99.0 99.0  0.64  4.55  3.29 135 9999.0 999.0  23.0 999.0 99.0 99.00
