#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 02 01 57 999 99.0 99.0  1.36 10.53  8.83 292 9999.0 999.0  12.6 999.0 99.0 99.00
2019 01 02 02 27 999 99.0 99.0  1.24 11.11  8.53 282 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 02 02 57 999 99.0 99.0  1.32 10.53  8.53 295 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 02 03 27 999 99.0 99.0  1.16 10.53  8.43 293 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 02 04 27 999 99.0 99.0  1.38 11.76  8.67 274 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 02 04 57 999 99.0 99.0  1.15  9.88  8.12 299 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 02 05 27 999 99.0 99.0  1.28 11.11  8.04 283 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 02 05 57 999 99.0 99.0  1.24 10.53  8.17 293 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 02 06 27 999 99.0 99.0  1.28 10.53  8.59 296 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 02 06 57 999 99.0 99.0  1.27  9.88  8.55 296 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 02 07 27 999 99.0 99.0  1.24  9.88  8.08 288 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 02 07 57 999 99.0 99.0  1.23 11.76  8.08 269 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 02 08 27 999 99.0 99.0  1.17 10.53  8.36 285 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 02 08 57 999 99.0 99.0  1.19  9.88  8.36 288 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 02 09 27 999 99.0 99.0  1.06 11.76  7.95 276 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 02 09 57 999 99.0 99.0  1.12 11.76  8.34 272 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 02 10 27 999 99.0 99.0  1.14 11.76  8.49 268 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 02 10 57 999 99.0 99.0  1.12 12.50  8.39 272 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 02 11 27 999 99.0 99.0  1.10 12.50  8.04 275 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 02 11 57 999 99.0 99.0  1.06 11.76  8.33 269 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 02 20 57 999 99.0 99.0  1.07 11.11  8.73 275 9999.0 999.0  14.8 999.0 99.0 99.00
2019 01 02 21 27 999 99.0 99.0  1.02 15.38  8.54 257 9999.0 999.0  14.9 999.0 99.0 99.00
2019 01 02 21 57 999 99.0 99.0  1.08 15.38  8.62 261 9999.0 999.0  15.6 999.0 99.0 99.00
2019 01 02 22 27 999 99.0 99.0  1.06 16.67  8.64 252 9999.0 999.0  15.2 999.0 99.0 99.00
2019 01 02 22 57 999 99.0 99.0  1.02  9.88  8.39 292 9999.0 999.0  14.9 999.0 99.0 99.00
2019 01 02 23 27 999 99.0 99.0  1.04 14.29  8.44 272 9999.0 999.0  14.6 999.0 99.0 99.00
2019 01 02 23 57 999 99.0 99.0  1.10 15.38  9.28 261 9999.0 999.0  14.8 999.0 99.0 99.00
2019 01 03 00 27 999 99.0 99.0  1.17 15.38  9.75 258 9999.0 999.0  14.1 999.0 99.0 99.00
2019 01 03 00 57 999 99.0 99.0  1.12 14.29  8.88 271 9999.0 999.0  14.2 999.0 99.0 99.00
2019 01 03 01 27 999 99.0 99.0  1.32 14.29  9.86 262 9999.0 999.0  14.1 999.0 99.0 99.00
2019 01 03 01 57 999 99.0 99.0  1.10 15.38  8.72 260 9999.0 999.0  13.9 999.0 99.0 99.00
2019 01 03 02 27 999 99.0 99.0  1.12 15.38  8.73 258 9999.0 999.0  13.7 999.0 99.0 99.00
2019 01 03 02 57 999 99.0 99.0  1.14 15.38  8.78 265 9999.0 999.0  13.1 999.0 99.0 99.00
2019 01 03 03 27 999 99.0 99.0  1.04 14.29  8.68 267 9999.0 999.0  13.1 999.0 99.0 99.00
2019 01 03 03 57 999 99.0 99.0  1.16 15.38  9.27 269 9999.0 999.0  12.7 999.0 99.0 99.00
2019 01 03 04 27 999 99.0 99.0  1.16 14.29  9.25 267 9999.0 999.0  12.7 999.0 99.0 99.00
2019 01 03 04 57 999 99.0 99.0  1.06 15.38  8.48 251 9999.0 999.0  12.7 999.0 99.0 99.00
2019 01 03 05 27 999 99.0 99.0  1.04 15.38  8.47 265 9999.0 999.0  12.6 999.0 99.0 99.00
2019 01 03 05 57 999 99.0 99.0  1.10 15.38  9.44 257 9999.0 999.0  12.6 999.0 99.0 99.00
2019 01 03 06 27 999 99.0 99.0  0.97 15.38  8.72 262 9999.0 999.0  12.6 999.0 99.0 99.00
